track_name,artist_name,genre,artist_country,release_year,release_month,streams,popularity,duration_ms,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mood,duration_min
Galliyan,Pritam,Bollywood,IN,2023,5,3980991,78,229430,0.736,0.766,0.875,138.9,0.111,-2.37,0.052,Romantic,3.82
Happier Than Ever,Billie Eilish,Alt-Pop,US,2023,2,2494013,92,221270,0.611,0.739,0.79,88.8,0.273,-4.41,0.132,Melancholic,3.69
Love Galore,SZA,R&B,US,2018,1,8320836,80,220308,0.325,0.707,0.667,142.2,0.194,-7.75,0.197,Melancholic,3.67
Kun Faya Kun,A.R. Rahman,Bollywood,IN,2022,10,4678576,88,256939,0.189,0.635,0.414,100.2,0.158,-3.45,0.069,Happy,4.28
Laung Gawacha,Nucleya,Electronic,IN,2023,11,3247521,69,198236,0.894,0.557,0.631,148.9,0.044,-7.29,0.412,Sad,3.3
Ocean Eyes,Billie Eilish,Alt-Pop,US,2022,5,4589001,86,174939,0.65,0.879,0.423,83.9,0.229,-10.7,0.07,Happy,2.92
A Sky Full of Stars,Coldplay,Rock/Pop,GB,2020,5,2353658,91,216823,0.789,0.778,0.574,144.8,0.387,-0.97,0.151,Energetic,3.61
Dil Se,A.R. Rahman,Bollywood,IN,2018,2,8328195,74,185379,0.675,0.666,0.438,118.3,0.659,-7.62,0.037,Sad,3.09
Raabta,Pritam,Bollywood,IN,2020,10,6314759,73,224197,0.693,0.79,0.333,156.8,0.401,-3.71,0.206,Chill,3.74
Can't Feel My Face,The Weeknd,R&B/Pop,CA,2022,2,6382233,86,325581,0.547,0.43,0.41,133.1,0.1,-8.67,0.054,Sad,5.43
Cruel Summer,Taylor Swift,Pop,US,2020,11,3433325,94,274318,0.696,0.696,0.324,154.5,0.249,-11.91,0.22,Motivational,4.57
Good Days,SZA,R&B,US,2023,2,2101954,97,195472,0.827,0.525,0.073,153.9,0.087,-9.13,0.276,Happy,3.26
Therefore I Am,Billie Eilish,Alt-Pop,US,2018,4,3401985,90,212094,0.864,0.629,0.588,122.6,0.131,-4.35,0.202,Melancholic,3.53
Senorita,Vishal-Shekhar,Bollywood,IN,2021,11,7048857,82,228311,0.617,0.672,0.502,146.7,0.289,-4.51,0.175,Motivational,3.81
Fix You,Coldplay,Rock/Pop,GB,2020,4,15179135,78,179819,0.377,0.752,0.547,135.7,0.389,-6.64,0.07,Chill,3.0
Cruel Summer,Taylor Swift,Pop,US,2023,3,2260619,100,167776,0.584,0.698,0.543,125.1,0.122,-7.19,0.24,Romantic,2.8
A Sky Full of Stars,Coldplay,Rock/Pop,GB,2021,5,4721114,86,212930,0.276,0.467,0.734,139.5,0.187,-10.16,0.277,Romantic,3.55
Circles,Post Malone,Hip-Hop/Pop,US,2019,1,2816346,89,224757,0.254,0.765,0.691,145.2,0.252,-2.19,0.192,Motivational,3.75
